country,year,item,r,n,survey,cc_rank,y_claassen
Colombia,2017,evdemoc_pew,4,320.2378954,pew2017,332,NA
Colombia,2017,strong_pew.1,1,137.7023192,pew2017,332,NA
Colombia,2017,strong_pew.1,2,67.85581212,pew2017,332,NA
Colombia,2017,strong_pew.1,3,251.1460487,pew2017,332,NA
Colombia,2017,strong_pew.1,4,543.2958187,pew2017,332,NA
Colombia,2017,threestate_lb,1,180.6145841,lb2017,332,NA
Colombia,2017,threestate_lb,2,312.2009227,lb2017,332,NA
Colombia,2017,threestate_lb,3,711.1965119,lb2017,332,NA
Colombia,2018,church_amb,1,157.9995492,"amb_combo, amb_colombia2018",332,NA
Colombia,2018,church_amb,2,149.999572,"amb_combo, amb_colombia2018",332,NA
Colombia,2018,church_amb,3,301.9991383,"amb_combo, amb_colombia2018",332,NA
Colombia,2018,church_amb,4,691.9980256,"amb_combo, amb_colombia2018",332,NA
Colombia,2018,church_amb,5,733.9979057,"amb_combo, amb_colombia2018",332,NA
Colombia,2018,church_amb,6,535.9984707,"amb_combo, amb_colombia2018",332,NA
Colombia,2018,church_amb,7,665.9980997,"amb_combo, amb_colombia2018",332,NA
Mexico,1995,threestate_lb,1,344.1042181,lb1995,313,NA
Mexico,1995,threestate_lb,2,262.5535074,lb1995,313,NA
Mexico,1995,threestate_lb,3,590.7453918,lb1995,313,NA
Mexico,1996,army_wvs,1,288.2389724,wvs_combo,313,NA
Mexico,1996,army_wvs,2,262.2173985,wvs_combo,313,NA
Mexico,1996,army_wvs,3,559.4638388,wvs_combo,313,NA
Mexico,1996,army_wvs,4,401.3327359,wvs_combo,313,NA
Mexico,1996,church_wvs,1,263.2182283,wvs_combo,313,NA
Mexico,1996,church_wvs,2,261.2165687,wvs_combo,313,NA
Mexico,1996,church_wvs,3,707.586644,wvs_combo,313,NA
Mexico,1996,church_wvs,4,279.2315045,wvs_combo,313,NA
Mexico,1996,evdemoc_wvs,1,238.1974841,wvs_combo,313,NA
Mexico,1996,evdemoc_wvs,2,218.1808888,wvs_combo,313,NA
Mexico,1996,evdemoc_wvs,3,653.5418367,wvs_combo,313,NA
Mexico,1996,evdemoc_wvs,4,401.3327359,wvs_combo,313,NA
Mexico,1996,strong_wvs,1,381.3161406,wvs_combo,313,NA
Mexico,1996,strong_wvs,2,427.3543098,wvs_combo,313,NA
Mexico,1996,strong_wvs,3,504.4182017,wvs_combo,313,NA
Mexico,1996,strong_wvs,4,198.1642935,wvs_combo,313,NA
Mexico,1996,threestate_lb,1,453.999937,lb1996,313,NA
Mexico,1996,threestate_lb,2,260.9999638,lb1996,313,NA
Mexico,1996,threestate_lb,3,810.9998875,lb1996,313,NA
Mexico,1997,threestate_lb,1,363.9949148,lb1997,313,NA
Mexico,1997,threestate_lb,2,169.997625,lb1997,313,NA
Mexico,1997,threestate_lb,3,570.9920229,lb1997,313,NA
Mexico,1998,threestate_lb,1,363.0178923,lb1998,313,NA
Mexico,1998,threestate_lb,2,229.0112874,lb1998,313,NA
